         2324420 function calls (2171995 primitive calls) in 1.523 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 offsets.py:2214(Tick)
       20    0.000    0.000    0.000    0.000 _decorators.py:135(_deprecate_kwarg)
      364    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1235    0.000    0.000    0.000    0.000 bases.py:310(wrap)
       70    0.000    0.000    0.000    0.000 types.py:581(__init__)
       26    0.000    0.000    0.007    0.000 pyparsing.py:2779(__init__)
      121    0.000    0.000    0.000    0.000 pyparsing.py:1614(preParse)
        1    0.000    0.000    0.039    0.039 _core.py:3(<module>)
    80/76    0.000    0.000    0.014    0.000 __init__.py:810(__getitem__)
  111/109    0.000    0.000    0.000    0.000 typing.py:664(__hash__)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
      150    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
       50    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
      145    0.000    0.000    0.000    0.000 inspect.py:714(getmodule)
       42    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       50    0.000    0.000    0.001    0.000 fills.py:57(from_tree)
        4    0.000    0.000    0.020    0.005 base.py:1(<module>)
      143    0.000    0.000    0.000    0.000 grammar.py:351(visit_reference)
        1    0.000    0.000    0.007    0.007 pyparsing.py:6366(pyparsing_common)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
       13    0.000    0.000    0.005    0.000 enum.py:633(_convert)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:890(__eq__)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 base.py:71(Max)
        1    0.000    0.000    0.015    0.015 properties.py:157(<module>)
    85/71    0.000    0.000    0.003    0.000 parser.py:457(parse_and)
       13    0.000    0.000    0.038    0.003 environment.py:553(compile)
      146    0.000    0.000    0.001    0.000 __init__.py:1317(safe_name)
        1    0.000    0.000    0.003    0.003 pytables.py:4(<module>)
       37    0.000    0.000    0.000    0.000 pyparsing.py:3308(parseImpl)
      144    0.000    0.000    0.000    0.000 __init__.py:293(set_function_name)
       85    0.000    0.000    0.000    0.000 re.py:307(_subx)
        2    0.000    0.000    0.043    0.022 types.py:1(<module>)
        1    0.000    0.000    0.027    0.027 __init__.py:386(<module>)
      267    0.000    0.000    0.000    0.000 bases.py:115(_sphinx_model_link)
    85/71    0.000    0.000    0.003    0.000 parser.py:505(parse_concat)
        1    0.000    0.000    0.008    0.008 table.py:1(<module>)
       27    0.000    0.000    0.001    0.000 core.py:172(iter_style_files)
        2    0.000    0.000    0.033    0.016 excel.py:3(<module>)
       41    0.000    0.000    0.002    0.000 dataspec.py:350(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:57(<module>)
      120    0.000    0.000    0.001    0.000 pyparsing.py:2368(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:442(Colormap)
    24/17    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 annotations.py:301(ColorBar)
      209    0.000    0.000    0.000    0.000 bases.py:461(_sphinx_type)
    52/33    0.000    0.000    0.006    0.000 compiler.py:371(blockvisit)
        1    0.000    0.000    0.017    0.017 __init__.py:189(<module>)
      598    0.000    0.000    0.000    0.000 __init__.py:2345(_normalize_cached)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3939(<listcomp>)
       42    0.000    0.000    0.002    0.000 ops.py:1367(_flex_method_SERIES)
       23    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
      200    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
     11/9    0.000    0.000    0.000    0.000 posixpath.py:400(_joinrealpath)
      413    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        7    0.000    0.000    0.001    0.000 nonlin.py:1498(_nonlin_wrapper)
       14    0.000    0.000    0.005    0.000 _distn_infrastructure.py:2826(_construct_docstrings)
       70    0.000    0.000    0.000    0.000 visual.py:94(transform)
       96    0.000    0.000    0.001    0.000 utils.py:15(evaluate_string)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      150    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
      178    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.004    0.004 tools.py:28(<module>)
    85/71    0.000    0.000    0.003    0.000 parser.py:448(parse_or)
       16    0.000    0.000    0.001    0.000 _version.py:55(__init__)
       66    0.000    0.000    0.000    0.000 expression_typecheck.py:237(__init__)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
        1    0.000    0.000    0.001    0.001 typing.py:19(<module>)
      188    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 random.py:38(<module>)
       61    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
      142    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       80    0.000    0.000    0.000    0.000 container.py:109(_sphinx_type)
      119    0.000    0.000    0.000    0.000 enums.py:215(<dictcomp>)
      177    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
      122    0.000    0.000    0.000    0.000 _util.py:174(check_random_state)
        1    0.000    0.000    0.001    0.001 column.py:132(Column)
       69    0.000    0.000    0.003    0.000 rdd.py:152(ignore_unicode_prefix)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
      136    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
      185    0.000    0.000    0.000    0.000 re.py:313(filter)
       60    0.000    0.000    0.000    0.000 has_props.py:65(abstract)
        1    0.000    0.000    0.004    0.004 pyparsing.py:5399(pyparsing_common)
      188    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      591    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
  496/492    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.033    0.033 _distn_infrastructure.py:5(<module>)
     19/4    0.000    0.000    0.000    0.000 pyparsing.py:3319(streamline)
     1276    0.000    0.000    0.000    0.000 __init__.py:2094(__bool__)
        1    0.000    0.000    0.001    0.001 testing.py:1(<module>)
      113    0.000    0.000    0.000    0.000 warnings.py:453(__init__)
      384    0.000    0.000    0.000    0.000 six.py:88(__init__)
       11    0.000    0.000    0.059    0.005 artist.py:1578(kwdoc)
        1    0.000    0.000    0.001    0.001 types.py:18(<module>)
      404    0.000    0.000    0.000    0.000 version.py:352(<lambda>)
        1    0.000    0.000    0.004    0.004 _pydecimal.py:113(<module>)
      195    0.000    0.000    0.000    0.000 enum.py:628(value)
      638    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       32    0.000    0.000    0.002    0.000 base.py:237(__init__)
        1    0.000    0.000    0.000    0.000 plots.py:64(Plot)
       13    0.000    0.000    0.000    0.000 loaders.py:167(get_source)
       64    0.000    0.000    0.000    0.000 idtracking.py:27(__init__)
        3    0.000    0.000    0.001    0.000 grammar.py:427(visit_rules)
      241    0.000    0.000    0.000    0.000 expressions.py:99(__init__)
        1    0.000    0.000    0.020    0.020 requirements.py:4(<module>)
       74    0.000    0.000    0.006    0.000 __init__.py:3277(<genexpr>)
        1    0.000    0.000    0.000    0.000 rrule.py:7(<module>)
       20    0.000    0.000    0.000    0.000 deprecation.py:207(_deprecated_property)
        9    0.000    0.000    0.000    0.000 accessor.py:56(_add_delegate_accessors)
       81    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.129    0.129 ldscsim.py:20(<module>)
        1    0.000    0.000    0.025    0.025 figure.py:56(Figure)
        1    0.000    0.000    0.000    0.000 annotations.py:505(BoxAnnotation)
        1    0.000    0.000    0.000    0.000 named.py:9(<module>)
        1    0.000    0.000    0.001    0.001 palettes.py:403(__palettes__)
       14    0.000    0.000    0.001    0.000 parser.py:753(parse_call)
       44    0.000    0.000    0.002    0.000 compiler.py:108(find_undeclared)
       60    0.000    0.000    0.000    0.000 idtracking.py:43(_define_ref)
    85/71    0.000    0.000    0.003    0.000 parser.py:526(parse_pow)
      215    0.000    0.000    0.000    0.000 grammar.py:346(visit_label)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
        1    0.000    0.000    0.000    0.000 resources.py:284(CSSResources)
        1    0.000    0.000    0.003    0.003 config_init.py:11(<module>)
      351    0.000    0.000    0.000    0.000 __init__.py:217(bind_method)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 bar_chart.py:64(BarChart)
       22    0.000    0.000    0.000    0.000 compiler.py:409(signature)
       63    0.000    0.000    0.000    0.000 rcsetup.py:447(validate_fontsize)
        1    0.000    0.000    0.065    0.065 frame.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.000    0.000 palettes.py:1142(<listcomp>)
      106    0.000    0.000    0.000    0.000 nodes.py:519(as_const)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1250(setParseAction)
       42    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
      146    0.000    0.000    0.000    0.000 __init__.py:1934(__init__)
       17    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
       15    0.000    0.000    0.000    0.000 __init__.py:2030(_warn_external)
      150    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.001    0.001 distance.py:72(<module>)
       13    0.000    0.000    0.038    0.003 loaders.py:99(load)
       35    0.000    0.000    0.000    0.000 idtracking.py:69(copy)
       70    0.000    0.000    0.001    0.000 decorator.py:decorator-gen-38>:1(__init__)
        6    0.000    0.000    0.023    0.004 api.py:3(<module>)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:499(_validate_hash_pyc)
        1    0.000    0.000    0.006    0.006 font_manager.py:14(<module>)
       31    0.000    0.000    0.000    0.000 cm.py:48(revcmap)
        1    0.000    0.000    0.126    0.126 __init__.py:376(<module>)
        2    0.000    0.000    0.002    0.001 layouts.py:9(<module>)
        1    0.000    0.000    0.042    0.042 annotations.py:10(<module>)
       70    0.000    0.000    0.000    0.000 regex.py:90(validate)
    85/71    0.000    0.000    0.003    0.000 parser.py:515(parse_math2)
        1    0.000    0.000    0.000    0.000 blas.py:202(<module>)
       24    0.000    0.000    0.002    0.000 expressions.py:266(__init__)
        1    0.000    0.000    0.000    0.000 serializers.py:668(UTF8Deserializer)
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
      130    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.004    0.004 dates.py:137(<module>)
       16    0.000    0.000    0.002    0.000 rcsetup.py:781(cycler)
        1    0.000    0.000    0.050    0.050 series.py:3(<module>)
        1    0.000    0.000    0.002    0.002 datetimes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        1    0.000    0.000    0.000    0.000 secrets.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
       60    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      177    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
       23    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
      196    0.000    0.000    0.000    0.000 nested.py:38(from_tree)
       55    0.000    0.000    0.000    0.000 base.py:97(__init__)
        1    0.000    0.000    0.009    0.009 _discrete_distns.py:5(<module>)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
    62/47    0.000    0.000    0.003    0.000 parser.py:435(parse_condexpr)
    85/71    0.000    0.000    0.003    0.000 parser.py:494(parse_math1)
      584    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
        1    0.000    0.000    0.003    0.003 internals.py:1(<module>)
      103    0.000    0.000    0.000    0.000 ops.py:182(_gen_eval_kwargs)
        1    0.000    0.000    0.008    0.008 ops.py:5(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
       43    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
        1    0.000    0.000    0.000    0.000 axis.py:679(Axis)
        1    0.000    0.000    0.000    0.000 table.py:861(TableDefinition)
       52    0.000    0.000    0.000    0.000 base.py:77(__init__)
        1    0.000    0.000    0.000    0.000 _root_scalar.py:8(<module>)
       62    0.000    0.000    0.000    0.000 container.py:117(__init__)
       40    0.000    0.000    0.000    0.000 dataspec.py:363(make_descriptors)
       15    0.000    0.000    0.001    0.000 parser.py:800(parse_filter)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1766(set)
      254    0.000    0.000    0.000    0.000 pyparsing.py:3851(<genexpr>)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
        1    0.000    0.000    0.000    0.000 status_codes.py:104(_init)
        1    0.000    0.000    0.112    0.112 distributions.py:8(<module>)
        1    0.000    0.000    0.000    0.000 palettes.py:398(_PalettesModule)
       13    0.000    0.000    0.000    0.000 compiler.py:246(__init__)
       26    0.000    0.000    0.001    0.000 pyparsing.py:1047(extract_stack)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
        1    0.000    0.000    0.002    0.002 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 printing.py:3(<module>)
        1    0.000    0.000    0.001    0.001 scale.py:1(<module>)
       53    0.000    0.000    0.000    0.000 fills.py:84(__init__)
    17/15    0.000    0.000    0.000    0.000 compiler.py:1571(visit_Filter)
     24/4    0.000    0.000    0.000    0.000 pyparsing.py:3999(streamline)
        1    0.000    0.000    0.001    0.001 groupby.py:1171(GroupBy)
        1    0.000    0.000    0.012    0.012 __init__.py:25(<module>)
       10    0.000    0.000    0.000    0.000 decorators.py:69(_make_command)
      210    0.000    0.000    0.000    0.000 inspect.py:478(getmro)
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2393(Canvas)
       24    0.000    0.000    0.000    0.000 dviread.py:154(decorate)
        1    0.000    0.000    0.094    0.094 worksheet.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _shgo.py:450(SHGO)
        1    0.000    0.000    0.020    0.020 gmap.py:50(GMap)
  179/175    0.000    0.000    0.000    0.000 idtracking.py:56(find_ref)
        1    0.000    0.000    0.000    0.000 colors.py:88(<dictcomp>)
       56    0.000    0.000    0.000    0.000 base.py:128(_make_arithmetic_op)
        1    0.000    0.000    0.000    0.000 groupby.py:2173(BaseGrouper)
        1    0.000    0.000    0.000    0.000 nanops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 serialization.py:16(<module>)
      153    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        8    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
       43    0.000    0.000    0.001    0.000 contextlib.py:107(__enter__)
        3    0.000    0.000    0.032    0.011 __init__.py:45(<module>)
        1    0.000    0.000    0.004    0.004 mathtext.py:16(<module>)
    34/24    0.000    0.000    0.002    0.000 compiler.py:64(new_func)
    85/71    0.000    0.000    0.003    0.000 parser.py:466(parse_not)
       19    0.000    0.000    0.000    0.000 path.py:96(__init__)
      116    0.000    0.000    0.000    0.000 pyparsing.py:2523(__str__)
    24/12    0.000    0.000    0.001    0.000 pyparsing.py:4217(parseImpl)
        1    0.000    0.000    0.037    0.037 _converter.py:1(<module>)
       12    0.000    0.000    0.000    0.000 ops.py:1654(_comp_method_PANEL)
       54    0.000    0.000    0.000    0.000 accessor.py:72(_create_delegator_property)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6704(add_newdoc_for_scalar_type)
       60    0.000    0.000    0.001    0.000 fromnumeric.py:2189(any)
        1    0.000    0.000    0.003    0.003 ssl.py:91(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
      457    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       75    0.000    0.000    0.000    0.000 cm.py:65(_reverse_cmap_spec)
       12    0.000    0.000    0.015    0.001 artist.py:1193(__init__)
       40    0.000    0.000    0.000    0.000 dataspec.py:414(prepare_value)
        1    0.000    0.000    0.001    0.001 qc.py:1(<module>)
        2    0.000    0.000    0.257    0.129 context.py:1(<module>)
       19    0.000    0.000    0.000    0.000 generic.py:9598(_make_stat_function)
        1    0.000    0.000    0.000    0.000 range.py:28(RangeIndex)
       17    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 _parser.py:247(parserinfo)
        3    0.000    0.000    0.000    0.000 six.py:837(wrapper)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
       69    0.000    0.000    0.000    0.000 os.py:751(encode)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.008    0.008 patches.py:1(<module>)
       44    0.000    0.000    0.000    0.000 colors.py:58(__set__)
        1    0.000    0.000    0.022    0.022 glyphs.py:46(<module>)
        2    0.000    0.000    0.000    0.000 palettes.py:1034(Set1)
       93    0.000    0.000    0.000    0.000 pyparsing.py:296(__init__)
       24    0.000    0.000    0.001    0.000 pyparsing.py:1283(extract_stack)
        1    0.000    0.000    0.003    0.003 offsets.py:2(<module>)
       94    0.000    0.000    0.000    0.000 function_base.py:257(iterable)
       96    0.000    0.000    0.000    0.000 ast.py:64(_convert)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    1.525    1.525 cli.py:1(<module>)
       46    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.000    0.000 session_id.py:131(_get_sysrandom)
    85/80    0.000    0.000    0.000    0.000 parser.py:668(parse_postfix)
     10/9    0.000    0.000    0.003    0.000 parser.py:188(parse_for)
       30    0.000    0.000    0.000    0.000 rcsetup.py:304(__call__)
        1    0.000    0.000    0.002    0.002 type_check.py:3(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        3    0.000    0.000    0.049    0.016 __init__.py:11(<module>)
        3    0.000    0.000    0.003    0.001 table.py:3(<module>)
       70    0.000    0.000    0.000    0.000 container.py:95(_is_seq)
       55    0.000    0.000    0.000    0.000 rcsetup.py:982(_validate_linestyle)
      170    0.000    0.000    0.000    0.000 ops.py:854(<lambda>)
       34    0.000    0.000    0.001    0.000 typing.py:633(copy_with)
        1    0.000    0.000    0.001    0.001 tz.py:9(<module>)
        1    0.000    0.000    0.025    0.025 request.py:68(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
      116    0.000    0.000    0.000    0.000 enum.py:623(name)
       43    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       16    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 _layoutbox.py:46(LayoutBox)
        1    0.000    0.000    0.002    0.002 Image.py:27(<module>)
      115    0.000    0.000    0.000    0.000 lexer.py:548(_normalize_newlines)
        1    0.000    0.000    0.000    0.000 pydoc.py:1696(Helper)
        1    0.000    0.000    0.008    0.008 generic.py:2(<module>)
        1    0.000    0.000    0.002    0.002 nanfunctions.py:22(<module>)
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
       23    0.000    0.000    0.000    0.000 pathlib.py:640(_parse_args)
        1    0.000    0.000    0.000    0.000 polar.py:111(InvertedPolarTransform)
        1    0.000    0.000    0.000    0.000 container.py:5(Container)
       10    0.000    0.000    0.000    0.000 _pylab_helpers.py:66(destroy_all)
        2    0.000    0.000    0.000    0.000 palettes.py:1062(brewer)
       40    0.000    0.000    0.001    0.000 auto.py:69(__init__)
       69    0.000    0.000    0.000    0.000 parser.py:106(is_tuple_end)
        2    0.000    0.000    0.142    0.071 interval.py:1(<module>)
       48    0.000    0.000    0.000    0.000 pyparsing.py:1948(__or__)
       96    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
       38    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
       83    0.000    0.000    0.000    0.000 pyparsing.py:2806(__init__)
      109    0.000    0.000    0.000    0.000 deprecation.py:117(deprecated)
        3    0.000    0.000    0.000    0.000 _pydecimal.py:3884(__init__)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
       68    0.000    0.000    0.000    0.000 status_codes.py:111(doc)
        2    0.000    0.000    0.011    0.005 core.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fitpack2.py:1000(SmoothBivariateSpline)
       76    0.000    0.000    0.000    0.000 lexer.py:260(test_any)
       49    0.000    0.000    0.000    0.000 grammar.py:327(visit_sequence)
      609    0.000    0.000    0.000    0.000 nodes.py:268(lift_child)
       18    0.000    0.000    0.000    0.000 types.py:947(__init__)
       73    0.000    0.000    0.001    0.000 __init__.py:1409(has_metadata)
       28    0.000    0.000    0.000    0.000 rcsetup.py:56(<dictcomp>)
        1    0.000    0.000    0.001    0.001 multi.py:131(MultiIndex)
        5    0.000    0.000    0.000    0.000 base.py:4634(_add_numeric_methods_disabled)
      158    0.000    0.000    0.000    0.000 _decorators.py:241(__init__)
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        1    0.000    0.000    0.001    0.001 quoprimime.py:27(<module>)
       38    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
        6    0.000    0.000    0.000    0.000 patches.py:1853(_pprint_table)
       51    0.000    0.000    0.000    0.000 protection.py:15(__init__)
        1    0.000    0.000    0.000    0.000 radau.py:1(<module>)
        1    0.000    0.000    0.003    0.003 lexer.py:16(<module>)
        1    0.000    0.000    0.004    0.004 nodes.py:14(<module>)
        1    0.000    0.000    0.001    0.001 process.py:10(<module>)
       17    0.000    0.000    0.000    0.000 type_parsing.py:98(visit_struct)
        2    0.000    0.000    0.017    0.009 context.py:18(<module>)
        1    0.000    0.000    0.002    0.002 packers.py:39(<module>)
        1    0.000    0.000    0.001    0.001 window.py:1713(Expanding)
       15    0.000    0.000    0.001    0.000 deprecation.py:58(warn_deprecated)
        1    0.000    0.000    0.000    0.000 utils.py:4(<module>)
      124    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
       13    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
        3    0.000    0.000    0.004    0.001 _writer.py:3(<module>)
       26    0.000    0.000    0.000    0.000 utils.py:392(__getitem__)
        1    0.000    0.000    0.000    0.000 pytables.py:2409(GenericFixed)
      138    0.000    0.000    0.000    0.000 pyparsing.py:2428(setWhitespaceChars)
       55    0.000    0.000    0.000    0.000 rcsetup.py:704(__call__)
        6    0.000    0.000    0.003    0.000 ops.py:875(add_special_arithmetic_methods)
       48    0.000    0.000    0.001    0.000 config.py:726(inner)
     45/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
       23    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
      101    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
       82    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
      188    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.043    0.043 image.py:4(<module>)
        1    0.000    0.000    0.041    0.041 backend_bases.py:33(<module>)
        1    0.000    0.000    0.005    0.005 enums.py:61(<module>)
       45    0.000    0.000    0.002    0.000 idtracking.py:39(analyze_node)
       18    0.000    0.000    0.001    0.000 grammar.py:360(visit_regex)
    36/11    0.000    0.000    0.003    0.000 pyparsing.py:3743(leaveWhitespace)
        1    0.000    0.000    0.000    0.000 pyparsing.py:205(ParseBaseException)
       97    0.000    0.000    0.000    0.000 ops.py:223(_gen_fill_zeros)
       12    0.000    0.000    0.000    0.000 ops.py:1296(_bool_method_SERIES)
       14    0.000    0.000    0.000    0.000 ops.py:1687(_flex_method_PANEL)
        4    0.000    0.000    0.000    0.000 base.py:4710(_add_numeric_methods_binary)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
      252    0.000    0.000    0.000    0.000 multiarray.py:469(can_cast)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f0ac4ca30e0}
        1    0.000    0.000    0.007    0.007 connectionpool.py:1(<module>)
       43    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
      344    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 simpledialog.py:114(Dialog)
        2    0.000    0.000    0.003    0.002 series.py:4(<module>)
      171    0.000    0.000    0.000    0.000 base.py:223(__init__)
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
        1    0.000    0.000    0.000    0.000 orthogonal.py:72(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:735(<listcomp>)
        2    0.000    0.000    0.001    0.000 palettes.py:1122(all_palettes)
       75    0.000    0.000    0.000    0.000 idtracking.py:99(load)
        1    0.000    0.000    0.002    0.002 utils.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:12(<module>)
       39    0.000    0.000    0.000    0.000 environment.py:403(iter_extensions)
       13    0.000    0.000    0.018    0.001 environment.py:495(_parse)
        1    0.000    0.000    0.028    0.028 blockmatrix.py:1(<module>)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
       17    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
       56    0.000    0.000    0.002    0.000 pyparsing.py:3870(<listcomp>)
       12    0.000    0.000    0.001    0.000 deprecation.py:325(_delete_parameter)
       12    0.000    0.000    0.000    0.000 typing.py:844(__init_subclass__)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
      189    0.000    0.000    0.000    0.000 status_codes.py:112(<genexpr>)
       14    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
      101    0.000    0.000    0.000    0.000 re.py:252(escape)
       13    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 mathtext.py:386(Fonts)
        6    0.000    0.000    0.000    0.000 patches.py:1864(<listcomp>)
        1    0.000    0.000    0.034    0.034 plots.py:9(<module>)
        1    0.000    0.000    0.025    0.025 formatters.py:10(<module>)
        2    0.000    0.000    0.000    0.000 palettes.py:1054(Category20c)
        1    0.000    0.000    0.000    0.000 environment.py:1171(TemplateExpression)
        1    0.000    0.000    0.007    0.007 __init__.py:219(<module>)
       60    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
      292    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
       20    0.000    0.000    0.001    0.000 deprecation.py:269(_rename_parameter)
       60    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        1    0.000    0.000    0.004    0.004 cast.py:1(<module>)
