         2324420 function calls (2171995 primitive calls) in 1.523 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6863/5684    0.004    0.000    0.015    0.000 {built-in method builtins.any}
    12603    0.004    0.000    0.004    0.000 nodes.py:44(__init__)
      426    0.004    0.000    0.013    0.000 __init__.py:18(__new__)
    15106    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      118    0.004    0.000    0.009    0.000 __init__.py:316(namedtuple)
     2781    0.004    0.000    0.010    0.000 copy.py:66(copy)
     6222    0.004    0.000    0.010    0.000 enum.py:284(__call__)
      733    0.004    0.000    0.051    0.000 decorator.py:259(decorator)
    17506    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
    32138    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     4891    0.003    0.000    0.007    0.000 nodes.py:164(iter_child_nodes)
   629/50    0.003    0.000    0.015    0.000 serialisable.py:46(from_tree)
     1512    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     7056    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(parent)
      741    0.003    0.000    0.075    0.000 decorator.py:225(decorate)
  331/317    0.003    0.000    0.006    0.000 check.py:480(check_all)
      845    0.003    0.000    0.005    0.000 functools.py:37(update_wrapper)
 1059/368    0.003    0.000    0.055    0.000 sre_parse.py:417(_parse_sub)
    12603    0.003    0.000    0.004    0.000 nodes.py:56(__iter__)
     3581    0.003    0.000    0.003    0.000 bases.py:96(__init__)
   1357/6    0.003    0.000    1.523    0.254 <frozen importlib._bootstrap_external>:722(exec_module)
     2772    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
     1516    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
     3752    0.002    0.000    0.003    0.000 has_props.py:191(accumulate_from_superclasses)
     2409    0.002    0.000    0.003    0.000 base.py:18(__init__)
     1357    0.002    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       23    0.002    0.000    0.005    0.000 enum.py:135(__new__)
       12    0.002    0.000    0.024    0.002 artist.py:1277(_get_setters_and_targets)
     5223    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     2069    0.002    0.000    0.007    0.000 base.py:34(__init__)
     1043    0.002    0.000    0.006    0.000 lexer.py:599(tokeniter)
1517/1491    0.002    0.000    0.078    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     6568    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       27    0.002    0.000    0.012    0.000 __init__.py:908(_rc_params_in_file)
     1357    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       98    0.002    0.000    0.061    0.001 _distn_infrastructure.py:1552(__init__)
      290    0.002    0.000    0.006    0.000 has_props.py:160(__init__)
    12603    0.002    0.000    0.002    0.000 nodes.py:51(expr_name)
      584    0.002    0.000    0.005    0.000 version.py:198(__init__)
      614    0.002    0.000    0.002    0.000 _inspect.py:67(getargs)
 1826/649    0.002    0.000    0.004    0.000 bases.py:422(has_ref)
      251    0.002    0.000    0.002    0.000 enum.py:78(_sphinx_type)
     1343    0.002    0.000    0.011    0.000 bases.py:317(prepare_value)
     3756    0.002    0.000    0.003    0.000 mimetypes.py:80(add_type)
     1511    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     2715    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
    13169    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
  442/429    0.002    0.000    0.007    0.000 either.py:71(__init__)
     2880    0.002    0.000    0.003    0.000 base.py:38(__set__)
     6207    0.002    0.000    0.002    0.000 enum.py:526(__new__)
     7980    0.002    0.000    0.003    0.000 nodes.py:148(iter_fields)
     1796    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
     1357    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
    11376    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
     7022    0.002    0.000    0.002    0.000 inspect.py:2799(<genexpr>)
2956/2536    0.002    0.000    0.008    0.000 bases.py:406(_validate_type_param)
     1437    0.002    0.000    0.003    0.000 copy.py:268(_reconstruct)
     6714    0.002    0.000    0.002    0.000 inspect.py:158(isfunction)
      119    0.002    0.000    0.002    0.000 enums.py:176(enumeration)
      373    0.002    0.000    0.004    0.000 colors.py:185(_to_rgba_no_colorcycle)
     2575    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      368    0.002    0.000    0.096    0.000 sre_compile.py:759(compile)
     1511    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1792    0.002    0.000    0.012    0.000 __init__.py:774(__setitem__)
     1796    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
     1746    0.001    0.000    0.003    0.000 bases.py:445(validate)
     7267    0.001    0.000    0.003    0.000 sre_parse.py:249(match)
     1343    0.001    0.000    0.016    0.000 bases.py:173(themed_default)
    51/50    0.001    0.000    0.002    0.000 {built-in method builtins.dir}
     2256    0.001    0.000    0.029    0.000 inspect.py:594(getdoc)
     2868    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:403(cached)
     5477    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
      343    0.001    0.000    0.015    0.000 _util.py:270(getargspec_no_self)
     3111    0.001    0.000    0.003    0.000 check.py:362(only)
      148    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
    10721    0.001    0.000    0.002    0.000 mathtext.py:2839(<genexpr>)
      752    0.001    0.000    0.117    0.000 expressions.py:125(match)
     1797    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:147(__enter__)
        4    0.001    0.000    0.004    0.001 decoder.py:343(raw_decode)
     2751    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      368    0.001    0.000    0.010    0.000 sre_compile.py:536(_compile_info)
     5477    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
     7430    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      287    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
       50    0.001    0.000    0.001    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
    10236    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
  1583/13    0.001    0.000    0.016    0.001 visitor.py:34(visit)
     3775    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      102    0.001    0.000    0.007    0.000 include.py:61(make_descriptors)
      112    0.001    0.000    0.021    0.000 _distn_infrastructure.py:622(_construct_argparser)
     5713    0.001    0.000    0.002    0.000 sre_parse.py:160(__len__)
     1357    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
       74    0.001    0.000    3.807    0.051 __init__.py:1(<module>)
     1775    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1209    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
    10235    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      440    0.001    0.000    0.002    0.000 instance.py:53(__init__)
    10236    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
 1287/110    0.001    0.000    0.004    0.000 nodes.py:184(find_all)
